Title 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מיישם מערכות BI,MIA Analytics,,תיאור משרהלאחד מלקוחותנו דרוש מיישם מערכות BI למשרה מלאההתפקיד כולל בנית דוחות .תחזוקת הדוחות והשאילתות הקיימות. ביצוע שינויים ותוספות בהתאם לדרישות הלקוח,דרישות התפקידאקדמאי בעל תואר ראשון במדעי המחשב בעל 7 שנות ניסיוןניסיון של 3 שנים לפחות בכתיבת SQL ברמה גבוההידע ב-SAS. יתרוןהיכרות עם תהליכי ETLניסיון בארגון גדול בו יש מערכות רבות בטכנולוגיות שונות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1812584-%D7%9E%D7%99%D7%94-%D7%9E%D7%97%D7%A9%D7%91%D7%99%D7%9D/,הייטק-כללי & BI & מיישם/ת & הייטק-תוכנה & BI & PL \ SQL & DATA SCIENTISTTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Senior Software Architect,CodeValue,,תיאור משרהCodeValue is a leading software company delivering a full spectrum of software services that enable customers to focus on their core business activities.At CodeValue. we leverage the Web by administering cross-platform development. We strive to build and maintain our top-notch expertise in this extremely dynamic and versatile field.If you are a technological leader with the ability to see the big picture. a passion for coding. and a team player. you should apply for this position!As a Senior Software Architect at CodeValue. you will be responsible for:Drive architecture and design. as well as technology stack selection. During implementation. conduct design and code reviews as well.Lead projects and mentor other developers.Study. analyze. and determine scope and effort estimation for future projects.Develop prototypes. and POCs while tackling technological challenges in addition to production-ready code.Span across multiple platforms such as web apps. mobile apps. and back-end services.Integrate with all sorts of system parts. such as Elastic. Mongo. SQL Server. Redis. Kafka. RabbitMQ. etc.Work with cutting-edge technologies. such as React. VueJS. Angular 2+. React Native. NativeScript. Ionic. Redux. MobX. NodeJS. Nest. KOA. HAPI. Relay. GraphQL. SocketCluster. etc.Work alongside experts and leaders in the field.Work on various projects and enjoy diversity.Enjoy internal training programs to develop your professional skills.,דרישות התפקידB.Sc. in Computer Sciences/Computer Engineering/Mathematics or equivalent.At least 10 years of hands-on experience with Web development and/or Experience with server-side development (.NET/JAVA//NodeJS/Python)At least 2 years of hands-on experience with modern UI frameworks such as Angular 2+. React. VueJS.SW Architecture experienceExperience in a multidisciplinary company or/and complex environmentExcellent stakeholder management skillsTeam leadership experience – an advantage,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1953469-codevalue/,הייטק-תוכנה & ארכיטקט/ית מערכת & ראש צוות פיתוח & מנהל/ת פיתוחTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מפתח.ת COBOL מנוסה,Malam מערכות,,תיאור משרהאנו מגייסים מפתח.ת COBOL לארגון מוביל ויציב הנמצא בתל אביב,דרישות התפקידניסיון של 10 שנים מינימום. בעבודה בתפקיד מפתח COBOL בסביבת M.F.ניסיון של 5 שנים מינימום . בתפקיד מפתח ב- CICS COBOLניסיון בעבודה עם בסיס נתונים ADABAS - יתרון,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3930191-malam%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA/,הייטק-תוכנה & COBOLTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
דרוש\ה Data Engineer – Tech Lead,Medulla,,תיאור משרהדרוש\ה Data Engineer – Tech Lead לסטרטאפ בתחום Securityמפתחים פלט' לאנשי סקיוריטי. כלי ניהולי לכל ההתרעות המאפשר עבודה טובה ויעילה יותר.ומאפשר בטיחות של המוצר ברמה גבוהה במיוחד.יושבים בת"א על קו רכבת. עובדים יום אחד מהבית.,דרישות התפקיד8 שנות ניסיון בפיתוחלפחות 4 שנות ניסיון כ Data Engineer בעולמות Big data & Cloudעדיפות ל AWSעדיפות לניסיון בפיתוח ב Python אך יש גמישות.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-746570-medulla/,הייטק-תוכנה & CLOUD & DATA ENGINEER & BIG DATATitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
מפתח/ת FULL STACK,Malam מערכות,,תיאור משרהלארגון גדול ויציב מחפשים FULL STACK לפיתוח מערכות WEB .,דרישות התפקיד- בעל ניסיון של 4 שנים בפיתוח מערכות WEB מרובות משתמשים בANGULAR- בעל ניסיון של 4-7 שנים בפיתוח ב- .NET- ניסיון בפיתוח שירותי WebApi ו- WebServices- ידע וניסיון בעבודה מול json. xsl. xsd wsdl xml.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3930191-malam%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA/,הייטק-תוכנה & ANGULAR & C# & FULL STACKTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
דרוש.ה DevOps Tech-Lead לחברה שעושה טוב במרכז הארץ,Medulla,,תיאור משרהלחברה במרכז הארץ ששמה לעצמה מטרה להפוך את העולם למקום קצת יותר טוב דרוש/ה DevOps Tech-Lead עם אופק ניהולי!!התפקיד מאתגר ומעניין והעבודה בסביבת AWS Cloud. Kubernetes.Terraform ועוד!***הזדמנות לסניורים להתקדם לטק ליד***דיווח ל VP R&Dהמשרה היברידית,דרישות התפקידמעל 5 שנות ניסיון כ DevOpsניסיון גם עם Windows and Linuxניסיון בעבודה בסביבת AWS and/or Azure Cloud services.ניסיון עם Docker Containers/Kubernetes.חובה ניסיון בשפות סקריפטים PowerShell or Bashהכרות טובה עם תהילכי CI/CD,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-746570-medulla/,הייטק-כללי & DEVOPS & CLOUDTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
דרוש\ה C++ \ Rust Developer,Medulla,,תיאור משרהדרוש\ה C++ \ Rust Developerלסטארטאפ מדהים! בתחום AI שגייס סכום עצום בתקופה הכי קשה ונמצא בתנופת גיוס מטורפת.מפתחים DB המאפשר לבנות מוצרי בינה מלאכותית חכמים ומדויקים יותר. באמצעות שימוש בדאטה מורכב.יושבים בת"א על קו רכבת. עובדים היברידי.,דרישות התפקידמעל 4 שנות ניסיון בפיתוח ב C/ C++/ Go/ Rust עובדים בפועל עם Rustמילות הקסם הןStorage \ Distributed systems \ Performance optimization \ Data path \ Data Plainחובה ניסיון בפיתוח Core.תואר רלוונטיניסיון ב Cloud - יתרוןניסיון מחברות Storage \ Databases – יתרון.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-746570-medulla/,הייטק-תוכנה & C++ / C & BACKEND & מהנדס/ת תוכנהTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Senior Backend Engineer,Medulla,,תיאור משרהלחברת סטארט אפ גלובאלית מצליחה ומבוססת בתל אביב. המפחתח מוצר מורכב ומעניין אוד בעולמות הפינטק דרוש/ה מפתח/ת Backend מנוסה.יושבים בתל אביב על קו הרכבת ועובדים היברידי (יש גמישות רבה! )תנאים מעולים!,דרישות התפקידניסיון של 8 שנים בפיתוח Backend - חובה!חובה ניסיון עם טכנולוגיות מתקדמות ב Cloud . Microservices .כותבים ב Scala - אין בעיה להגיע משפות אחרות.ניסיון מחברות סטארט אפ.,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-746570-medulla/,הייטק-תוכנה & מהנדס/ת תוכנה & BACKEND & SCALATitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Senior Java Developer,RedPanda,,תיאור משרהAbout The PositionWe are looking for a Senior Java Developer to join our R&D team to design and develop a k8s microservices based platform for a big financial organization.ResponsibilitiesDesign and development of our k8s microservices solutionProduce highly scalable. high-quality software in a fast-paced environmentFind innovative solutions to challenging problemsMentor less experienced developersPerform code reviewsPromote AWS based solutionsMake sure correct tools are used to solve problemsDiagnose and debug issues in productionWork closely with other dev teams. QA and product,דרישות התפקידRequirements5+ years of experience with JavaHands-on experience with AWS servicesExperience working MySQL. MongoDB and RedisExperience with data structures. parallelism. scalability and high availabilityExperience with Microservices design patternsExperience with agile development life cycleMust have a passion for technology and qualityGood analytical and communication skillsExperience and deep understanding of web application developmentProficiency with object-oriented concepts & design patternsAdvantagesB.Sc. in computer sciences or a related disciplineExperience in the fin-tech industryExperience with messaging systems such as Kafka / SQS / RabbitmqFamiliarity with Big DataFamiliarity with security by design and OWASP,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3838535-redpanda/,הייטק-תוכנה & JAVATitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
Senior Embedded Software Engineer,HighTech Company,,תיאור משרהThe job includes working with cutting edge technologies and platforms.,דרישות התפקידB.Sc. in EE / CE / CS or equivalent from a leading institute7+ year of experience in developing embedded software infrastructure and application for mass production consumer electronics products on bare metal and real time operating systemSolid understanding of hardware – software interactions in embedded systemsStrong programming skills in C / C++Knowledge in communication using interfaces as serial. ethernet. USB. wireless. etcFamiliarity with GIT and JIRAExcellent communication and teamwork skills,https://www.drushim.co.il/job/29496914/95129c50/,הייטק-תוכנה & RT / EMBEDDED & C++ / C & מהנדס/ת תוכנהTitle 1,cat 1,Title 2, Job description, Requirments,Link, catagories
