Title,Company,Job description,Requirements,Categories,Link
חשמלאים/ות מוסמכים/ות ועוזרי/ת חשמלאים/ות,אורנטפאוור,"תיאור משרה לחברה מובילה בתחום התשתיות חשמל בשדרות, דרושים לפרויקט גדול ומאתגר ראשי צוותים לעבודה מול לקוחות, יכולת ניהול משא ומתן דרושים/ות חשמלאים/ות מוסמכים/ות ועוזרי/ת חשמלאים/ות לעבודת התקנות בשטח. הסעות + ארוחות + אפשרות קידום",דרישות התפקיד * תעודת חשמלאי/ת מוסמך/ת או עוזר/ת חשמלאי/ת בתוקף. * ניסיון בתשתיות חשמל * רישיון נהיגה ג' יתרון * יכולת עבודה בצוות * בעל מוסר עבודה גבוהה * בעל סיווג - יתרון,בעלי מקצוע & חשמלאי & טכנאי/ת & טכנאי/ת מתח נמוך & תעשיה / ייצור & טכנאי/ת - תעשייה וייצור & חשמל ואלקטרוניקה & תחזוקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-188540-%D7%90%D7%95%D7%A8%D7%A0%D7%98%D7%A4%D7%90%D7%95%D7%95%D7%A8/
חשמלאים למחלקת הרכבה ושירות לשטל הנדסה ביבנה,שטל הנדסה,תיאור משרה לחברה מובילה בייצור ויבוא מכונות לענף הבניה דרושים חשמלאים למח' הרכבה תיאור התפקיד: • ביצוע הרכבות חשמליות של מכונות ומכלולים • תיקוני חשמל של מכונות למחלקת שירות. • העבודה במחלקת ההרכבה של החברה • מקום העבודה ביבנה תנאים מעולים למועמדים המתאימים!,דרישות התפקיד • הכשרה מקצועית מתאימה (תעודת חשמלאי) • קריאה והבנה של חומר טכני - חובה • יחסי אנוש מעולים ויכולת עבודה בצוות • רצון ללמוד ולהתקדם,בעלי מקצוע & חשמלאי & אחר & טכנאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-5950-%D7%A9%D7%98%D7%9C-%D7%94%D7%A0%D7%93%D7%A1%D7%94/
מתקין/ת מטבחי חוץ,כרמל דיירקט,תיאור משרה למחלקת מטבחי החוץ של כרמל דיירקט בקיבוץ גזר (מודיעין) דרוש/ה – מתקין מטבחי חוץ. תיאור משרה ודרישות -התקנת מוצרי החברה בבית הלקוח ובסניפי החברה. -משרה מלאה בימים א'-ה' בשעות 8:00-17:00 | שעות נוספות במידת הצורך.,"דרישות התפקיד -בעל/ת חוש טכני וניסיון בהתקנת מוצרים. -אדם שירותי בעבודה מול לקוחות. -רישיון ב׳ חובה, רישיון ג׳ – יתרון -נכונות לעבודה פיזית.",בעלי מקצוע & מתקינים & טכנאי/ת & אחזקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3748114-%D7%9B%D7%A8%D7%9E%D7%9C%D7%93%D7%99%D7%99%D7%A8%D7%A7%D7%98/
"עובד/ת ייצור בתחום השילוט - ללא שישי, שכר מעולה!","סיגנל מערכות שילוט בע""מ","תיאור משרה למפעל בתחום השילוט המודולארי במערב ראשל""צ, דרוש/ה עובד/ת ייצור עם ראש גדול, עבודה מאתגרת וחדשנית בתחום מאוד ייחודי בארץ.  העבודה באזור תעשיה מעויין שורק בראשון לציון (ליד איקאה), 5 ימי עבודה ללא שישי. שכר מעולה ותנאים מצוינים למתאימים/ות.",דרישות התפקיד רקע בייצור בתחום השילוט - חובה. ניסיון בעבודה עם מערכות פרופילי אלומיניום וביצוע תאורה.,בעלי מקצוע & טכנאי/ת & חשמלאי & מתקינים & תעשיה / ייצור & עובד/ת ייצור & מפעיל/ת מכונות & טכנאי/ת - תעשייה וייצור,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3275014-%D7%A1%D7%99%D7%92%D7%A0%D7%9C-%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA-%D7%A9%D7%99%D7%9C%D7%95%D7%98/
"מפעיל/ת מכונה- שכר גבוהה,בוקר בלבד",חסוי,"תיאור משרה למפעל מוביל בתחומו באזור קרית גת דרוש/ה מפעיל/ת מכונה/קו מפעיל/ת קו הנו הגורם האחראי שמפעיל את קו ואחראי על צוות העובדים בו. במסגרת תפקידו/ה: הפעלת הקו, ביצוע סט אפ למכונה לפי תכנית עבודה אחריות לתפוקות המכונה תוך הקפדה על בקרת איכות ובכפוף ללוח הזמנים הנדרש ביצוע טיפולי אחזקה לקו, פתרון תקלות בסיסיות בקרה על עובדי הייצור בקו רישום ודיווח נתוני ייצור ואיכות יומיים  שכר ונלווים מוצעים: - קליטה כעובד חברה מהיום הראשון. - עבודה 5 ימים בשבוע במשרה מלאה, בימים א'-ה' בשעות: 7:00-16:00. - שכר יקבע במעמד הריאיון ובונוסים רבעוניים לאחר כשנה . - ארוחת צהרים בסבסוד מלא או 300 ש""ח בחודש עבור ארוחות (15 ליום) . - מענק אי היעדרות מהעבודה 300 ש""ח לחודש על נוכחות מלאה . - הסעות מקרית גת, מאשקלון ובאר שבע. ביטוח פנסיוני והפרשה לפיצויים- עפ""י החוק. מבוצע לאחר 3 חודשים רטרואקטיבית.","דרישות התפקיד - תפיסה טכנית, הבנה מכאנית. - דייקנות ויסודיות, יכולת הבחנה בפרטים. - גישה אחראית והקפדה על עמידה בלוחות זמנים. - ניסיון קודם כמפעיל מכונה - יתרון משמעותי.",בעלי מקצוע & טכנאי/ת & תעשיה / ייצור & מפעיל/ת מכונות & מכונאי/ת & עובד/ת ייצור,https://www.drushim.co.il/job/31386787/f70e7ac8/
עוזר.ת חשמלאי,solaredge,"תיאור משרה סולאראדג', חברה ישראלית מהמובילות בעולם בתחום האנרגיה המתחדשת, מגייסת עוזר\ת חשמלאי נלהב שיתמוך בצוות הטכנאים שלנו. התפקיד הינו תפקיד שטח וכולל משימות פיזיות. התפקיד כולל: • תמיכה בטכנאי שטח על בסיס יומי בין הימים ראשון עד חמישי במשרה מלאה • אבחון תקלות, החלפת כרטיסים ומערכות למוצרי וללקוחות SolarEdge","דרישות התפקיד • רישיון עוזר חשמלאי – חובה. • רישיונות נהיגה, קטגוריית C1(רשיון ג') – חובה. • הבנה טכנית, אוריינטציית שירות ויכולת פיזית • יכולת עבודה בסביבה דינאמית בקצב מהיר • היכרות וניסיון במערכות סולאריות – יתרון. • העבודה הינה עבודת שטח ברחבי ישראל.",בעלי מקצוע & חשמלאי & טכנאי/ת & מתקינים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1264662-solaredge/
איש/ת מקצוע בתחום מצלמות אבטחה - שכר גבוה מאוד!,JOB SPACE,תיאור משרה אם אתם מחפשים עבודה שגם תכניס לכם הרבה כסף וגם תמצאו מקצוע לחיים- הגעתם למקום הנכון!  אנחנו מחפשים איש/ת מקצוע בתחום המצלמות אבטחה להתקנת מערכות. תחום מעניין ומרתק עם אופק תעסוקתי רחב.  העבודות הם באזור המרכז בלבד!  עבודה בימים א-ה: 08:00-17:00 יש גמישות בשעות העבודה. ללא ימי שישי כלל. רכב צמוד!!  שכר גבוה מאוד + כל התנאים הסוציאליים!  הגישו מועמדות וניצור איתכם קשר בקרוב לפרטים נוספים :),דרישות התפקיד ניסיון קודם בתפקיד דומה - חובה! רקע טכני - חובה ידע בתחום החשמל ומתח נמוך.,בעלי מקצוע & טכנאי/ת & חשמלאי & מתקינים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3912084-jd%D7%94%D7%A9%D7%9E%D7%94/
דרוש/ה מתכנן/ת צנרת,- חסוי -,תיאור משרה לחברה שבונה בריכות יוקרה דרוש/ה מתכנן/ת צנרת. הכנת והקמת תשתית הבריכה מבחינת צנרת . עבודה בפריוקטים באזור המרכז. א-ה 7:00-16:00,דרישות התפקיד נכונות לעבודה פיזית - חובה ניסיון בהקמת תשתיות חשמל/אינסטלציה/צנרת/ספרינקלרים- חובה רישיון נהיגה - חובה,בעלי מקצוע & אינסטלציה & טכנאי/ת & מתקינים,https://www.drushim.co.il/job/31372062/15ae88f7/
מוביל מתקין ריהוט גן,"גלאור נכסים בע""מ",תיאור משרה דרוש/ה מתקין מערכות ריהוט גן התפקיד כולל: * ביצוע התקנות של ריהוט גן וכד,"דרישות התפקיד * 12 שנות לימוד * ניסיון בהרכבת ריהוט חוץ * רישיון ג' בתוקף * בעל חוש טכני ויכולת לבצע תיקונים * כישורים אישיים: שירותיות, אחריות, יכולת עבודה בעומס, עמידה בזמנים , חוש טכני  תנאי שכר מעולים!!",בעלי מקצוע & מתקינים & טכנאי/ת & אחזקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3289986-%D7%92%D7%9C%D7%90%D7%95%D7%A8-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D/
חשמלאי/ת למרכז הרפואי הדסה עין כרם,TS הדסה,"תיאור משרה אחזקה מונעת ואחזקת שבר בתחום החשמל, תמיכה במערכי החשמל של מערכות מקבילות כגון : מיזוג,UPS, מתח גבוה, שנאים, מתח נמוך, בקרת מבנה, גנרטורים וכו’. ביצוע עבודות חשמל כגון: התקנות שקעים, תאורה ולעיתים עבודה בגובה, ליווי קבלנים ומתן תמיכה לעובדי הצוות באתר. התקנה ושדרוג: תכנון וביצוע התקנות חשמליות חדשות במסגרת פרויקטים שדרוג או בנייה חדשה בבית החולים. זה כולל כל מה שקשור להתקנת כבלים, לוחות חשמל, תקנות בטיחות. תפעול מערכות בקרת מבנה ממוחשבות. קשר ועבודה מול ספקים ונותני שירות.","דרישות התפקיד תעודת הנדסאי חשמל – חובה , תינתן אופציה לטכנאי עם ניסיון רלוונטי רישיון חשמלאי ניסיון של 1-2 שנים לפחות בתחום . שליטה מלאה בשפה העברית. יחסי אנוש טובים ויכולת עבודה בצוות.",בעלי מקצוע & חשמלאי & טכנאי/ת מתח נמוך & טכנאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3751895-ts%D7%94%D7%93%D7%A1%D7%94/
