Title,Company,Job description,Requirements,Categories,Link
נציג/ת תפעול טכנאים,one systems,תיאור משרה לחברת הייטק גדולה בפתח תקווה דרוש/ה פקיד/ת תפעול טכנאים. אחריות על שילוח טכנאים לקריאות בשטח. ניהול קריאות. בקרה על עבודת הטכנאים. עבודת אדמניסטרציה שוטפת. שעות עבודה 08:00 – 17:00.,דרישות התפקיד ניידות חובה! ניסיון בלוגיסטיקה-יתרון. ניסיון בניהול משלוחים/קריאות-יתרון משמעותי ניסיון בשירות לקוחות-יתרון משמעותי. שליטה גבוהה באקסל . אסרטיביות חובה (עבודה מול טכנאים) יכולת עבודה עצמית יכולת עבודה על כמה מערכות בו זמנית מולטיטאסקינג.,לוגיסטיקה / שילוח & תפעול & שילוח & מתאם/ת משלוחים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-27809-%D7%95%D7%95%D7%90%D7%9F-%D7%A1%D7%99%D7%A1%D7%98%D7%9E%D7%A1/
טכנאי /ת דרג ג' ד',- חסוי -,תיאור משרה לחברת הייטק בקיסריה דרוש / ה טכנאי /ת דרג ג' ד'. עבודה הנה במשרה מלאה. תנאים מעולים למתאים /ה.,דרישות התפקיד בעל /ת תעודת טכנאי /ת דרג ג' ד'. המשרה מיועדת לנשים ולגברים כאחד.,תעשיה / ייצור & טכנאי/ת - תעשייה וייצור & עובד/ת ייצור,https://www.drushim.co.il/job/30643279/767580da/
טכנאים לעבודה בתחום הבניה,- חסוי -,תיאור משרה לעבודה במעבדה בתחום הבניה נדרשים/ות טכנאים עדיפות לבעלי רישיון נהיגה העבודה באזור תעשיה כנות,דרישות התפקיד בעל /ת תעודת טכנאי /ת דרג ג' ד'. המשרה מיועדת לנשים ולגברים כאחד.,בעלי מקצוע & עובדי בניין & טכנאי/ת,https://www.drushim.co.il/job/30634197/723d7880/
טכנאי,פרו ארט טכנולוגיות,"תיאור משרה לחברת פרו ארט טכנולוגיה המשווקת מערכות הדפסה, מערכות דבק ורובוטים לקווי יצור דרוש טכנאי לתיקון, שרות, תחזוקה והדרכת לקוחות. למועמד המתאים תינתן הדרכה ספציפית במקום.",דרישות התפקיד הבנה טכנית במערכות משולבות מכניקה ומחשב יכולת עבודה בצוות יכולת וסבלנות להדריך אנשים בטלפון. מתאים גם לעבודה גמישה.,בעלי מקצוע & טכנאי/ת & טכנאי/ת מתח נמוך & אחזקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2421781-%D7%A4%D7%A8%D7%95-%D7%90%D7%A8%D7%98-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/
"שטראוס מים מגייסת ר""צ טכנאים.ות!",קבוצת שטראוס,"תיאור משרה איך יראה היום שלך? ניהול צוות של 20-28 טכנאים.ות, הן שכירים והן קבלני משנה. חיבור הצוות ליעדים ומטרות משותפות של המחלקה והנעתו לעמידה בהם. טיפוח ההון האנושי ושימור יכולותיהן המקצועיות של הטכנאים. אחריות על גיוס, קליטה והכשרה של עובדים חדשים, לרבות ליווי ופיתוח מקצועי. הובלת שיחות אישיות, משובים, תיאום ציפיות עם העובדים ותהליכי סיום העסקה. ביצוע בקרה על בעיות משמעת ואכיפת נהלי עבודה.",דרישות התפקיד מה נדרש ממך? ותק של שנתיים בניהול צוות והנעת עובדי שטח - חובה. שליטה מלאה באקסל כולל נוסחאות. ניסיון בהובלה וניהול של פרויקטים. כושר מנהיגות ויכולת ניהול והנעת צוות. יכולת ניהול ממשקים באופן אפקטיבי.,בעלי מקצוע & טכנאי/ת & מתקינים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-4021201-%D7%A7%D7%91%D7%95%D7%A6%D7%AA%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1/
לחברת הנדסה בירושלים דרוש/ה טכנאי מתח נמןך,"נתון-נוף ים בטחון בע""מ","תיאור משרה לחברת נתון מערכות הגנת אש בירושלים - דרוש/ה טכנאי מתח נמוך ומערכות גילוי אש ועשן משרה מלאה, ימים א-ה לפרטים: 054-9580263 ליטל",דרישות התפקיד ניסיון מוכח בהכרת מערכות גילוי של telefire מגורים - ירושלים והסביבה,בעלי מקצוע & טכנאי/ת מתח נמוך,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-284015-%D7%A0%D7%95%D7%A3-%D7%99%D7%9D-%D7%91%D7%98%D7%97%D7%95%D7%9F/
טכנאי /ת שירות לתחום מכונות מחזור,אפקון החזקות,"תיאור משרה לקבוצת אפקון, לחטיבת הבקרה והאוטומציה דרוש/ה טכנאי/ת שירות לתחום מכונות מחזור. התפקיד כולל מתן שירות ללקוחות החברה, ביצוע ביקורות הפעלות והתקנות, טיפולים במערכות קיימות ועבודות תחזוקה שונות עבודת בשטח משרה מלאה + שעות נוספות","דרישות התפקיד בוגר/ת ביה""ס מקצועי במגמת הידראוליקה /מכניקה/ חשמל יתרון בוגר/ת מחלקה של טכנאי או הנדסאי חשמל/ הידראוליקה / מכונות יתרון מתאים גם לבוגרי קורסים צבאיים בתחום הידראוליקה, חשמל וכו ניסיון כטכנאי/ת שירות בתחום הידראוליקה או אחזקת מכונות- יתרון רישיון נהיגה-חובה",תעשיה / ייצור & חשמל ואלקטרוניקה & מכונאי/ת & טכנאי/ת - תעשייה וייצור,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1628816-%D7%90%D7%A4%D7%A7%D7%95%D7%9F-%D7%94%D7%97%D7%96%D7%A7%D7%95%D7%AA/
טכנאי/ת שירות שטח,קבוצת לובינסקי,תיאור משרה לקידמה חברה לייבוא ושיווק מלגזות מקבוצת לובינסקי דרוש/ה :טכנאי/ת שירות שטח  מהות התפקיד: מתן שרות למלגזות באתר הלקוח  שווה לעבוד בלובינסקי עובד/ת חברה מהיום הראשון תן ביס ביטוח בריאות פרטי אופק קידומי ובניית מסלול קריירה,דרישות התפקיד רישיון נהיגה - חובה ידע וניסיון בתחום המכונאות ידע וניסיון בתחום המלגזות - יתרון תודעת שירות גבוהה,תעשיה / ייצור & מכונאי/ת & חשמל ואלקטרוניקה & רכב / תחבורה & מכונאי/ת רכב & חשמלא/ית רכב,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-12877-%D7%93%D7%95%D7%93-%D7%9C%D7%95%D7%91%D7%99%D7%A0%D7%A1%D7%A7%D7%99/
טכנאי/ת חשמל ובקרה,קבוצת שטראוס,"תיאור משרה טכנאי.ת חשמל ובקרה- מפעל שקד החדש באחיהוד מה נבקש ממך? להביא את עצמך לעבודה! רעיונות חדשים, כישרונות, חלומות, ידע וניסיון החיים שצברת, יחד עם מקצועיות והבנה שהתפתחות היא אין סופית  מה כולל התפקיד? טיפול ומענה לתקלות חשמל ובקרה טיפול בתקלות שבר ביצוע פרויקטים בתחום החשמל ובקרה","דרישות התפקיד מה חשוב להביא איתך לתפקיד? רישיון חשמלאי מוסמך- חובה הנדסאי חשמל/בקרה- חובה ניסיון בתכנות/ בקרים- חובה משרת בוקר, נכונות לעבודה במשמרות בהמשך",הנדסה & הנדסאי/ת חשמל,https://www.drushim.co.il/job/30583429/72bd385c/
טכנאי /ת אינטגרציה למערכות מתח נמוך,חסוי,"תיאור משרה לקבוצת אפקון, לחברת הבקרה והאוטומציה, למחלקת בטחון העוסקת במערכות מתח נמוך ומערכות אבטחה אלקטרוניות בתחום HLS , דרוש איש אינטגרציה. במסגרת התפקיד: הפעילות בתחום בטחון - מערכות שליטה ובקרה, מצלמות במעגל סגור, מערכות פריצה ואזעקה. עבודה בפ""ת וכוללת נסיעות ברחבי הארץ נכונות לעבודה שטח (רישיון חובה) הפעילות בתחום בטחון - מערכות שליטה ובקרה, מצלמות במעגל סגור, מערכות פריצה ואזעקה. עבודה בפ""ת וכוללת נסיעות ברחבי הארץ נכונות לעבודה שטח (רישיון חובה)","דרישות התפקיד כישורים נדרשים: יכולת טכנית ברמה גבוהה, יכולת הדרכה וכתיבת מסמכים טכניים. השכלה: הנדסאי/ טכנאי אלקטרוניקה/תוכנה ניסיון מקצועי: לפחות 3 שנות ניסיון בתפקיד דומה ניסיון חובה בהפעלה והגדרה של מוצרים משולבי תוכנה ואלקטרוניקה, כגון מצלמות , בקרת כניסה ,בקרת פריצה ,מערכות שו""ב יתרון ידע בתחום הסיסטם, מערכות הפעלה Windows, Linux ידע בתחום התקשורת, IP, Circuit Switch LAN), WAN, VOIP,GSM) ניסיון מעשי בהתקנת שרתים (HP, Dell, Intel) יתרון: ניסיון מעשי (התקנה, קינפוג, דיבוג) עם ציוד תקשורת מתקדם – רכזות וראוטרים יתרון :הכרות ועבודה עם בסיסי נתונים והכרת שפת SQL הכרות עם טכנולוגיות ופתרונות אחסון (NetApp, EMC,SAN, NAS",הנדסה & הנדסאי/ת אלקטרוניקה,https://www.drushim.co.il/job/30651278/a75c65f1/
