Title,Company,Job description,Requirements,Categories,Link
Tech Support מתחיל.ה להייטקזון בכפר סבא,הייטק זון,"תיאור משרה להייטקזון בכפר סבא דרוש/ה: איש /אשת IT 45 שח לשעה לתמיכה פנים ארגונית במערכות מידע מרובות, התקנת מחשבים, מדפסות וכו' עריכות דוחות מורכבים, קליטה עיבוד מידע מדוחות והכנה למיגרציה לתוך מאגרי המידע",דרישות התפקיד חיבור לעולם ה IT והטכנולוגיה ניסיון קודם בתמיכה טכנית - יתרון ידע בEXCEL זמינות למשרה מלאה המשרה מיועדת לנשים ולגברים כאחד.,הייטק-כללי & HELP DESK / תמיכה & טכנאי/ת מחשבים & איש/ת IT,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-839518-%D7%94%D7%99%D7%99%D7%98%D7%A7-%D7%96%D7%95%D7%9F/
טכנאי/ת PC,מרטנס הופמן- MALAM TEAM,"תיאור משרה לחברת מרטנס הופמן- Malam Team דרוש/ה טכנאי/ת PC להשתלבות בצוות מערכות המידע בארגון גדול בירושלים.  במסגרת התפקיד תמיכה פנים ארגונית במשתמשי הארגון, ביצוע התקנות של מערכות הפעלה Windows ושפיכת אימג’ים, תמיכה ותחזוקת ציוד קצה, הקמת משתמשים ב Active Directory, אבחון וטיפול תקלות חומרה ותוכנה, עבודה עם ציוד תקשורת ועוד.","דרישות התפקיד ניסיון של כשנה לפחות בתפקיד דומה כטכנאי/ת PC - (אפשרי ניסיון משירות צבאי) ניסיון עם מערכות הפעלה Win 7,10 ניסיון בטיפול בתקלות חומרה והגדרת ציוד קצה  ניסיון הגדרת כונני רשת, הגדרת מדפסות וכו'",הייטק-כללי & טכנאי/ת מחשבים & איש/ת IT & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2376295-%D7%9E%D7%A8%D7%98%D7%A0%D7%A1-%D7%94%D7%95%D7%A4%D7%9E%D7%9F-%D7%9E%D7%99%D7%97%D7%A9%D7%95%D7%91/
דרוש/ מנתח/ת מערכות מידע לארגון גדול בירושלים!,Data Cube,"תיאור משרה לארגון גדול הממוקם בירושלים דרוש/ה מנתח/ת מערכות מידע! כחלק מהתפקיד אחריות על הקמת מערכת חדשה. פיתוח תהליכי עיבוד נתונים וחישובים ופיתוח דוחות. הזדמנות מעולה להיכנס למקום חזק ויציב, לעבודה בסביבה טכנולוגית!!","דרישות התפקיד 1. ניסיון בתחום ניתוח מערכות / מנהל פרויקטים מעל שנתיים. 3. עדיפות – רקע טכני משמעותי כגון : הכרות עם MQ, , Rest API WebService 4. ניסיון עבודה מוכח עם קבצי XML , Jason . 6. אנגלית חובה (קריאה, כתיבה, דיבור).",הייטק-כללי & מנתח/ת מערכות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-7184-data-cube/
טכנאי PC / שטח באיזור מרכז וירושלים במיידי,yesnet כל פתרונות,"תיאור משרה ללקוחות שלנו דרושים במיידי טכנאי מחשבים בעלי נסיון תמיכה HD במשתמשים התקנות ושדרוגים של תחנות עבודה עבודה משעה 8 עד 17 וחצי, 5 ימי עבודה בשבוע.","דרישות התפקיד ניסיון של כטכנאי /ת מחשבים בארגון ידע בחומרה, מערכות הפעלה, AD, 365 טיפול בתקלות מערכת הפעלה WIN10 תחנות עבודה. טיפול בתקלות ותמיכה במשתמשי קצה. חשוב ידע בחומרה במחשב ויצירת IMAGE. התקנת מדפסות וסורקים",הייטק-כללי & טכנאי/ת מחשבים & HELP DESK / תמיכה & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-23860-yesnet-%D7%9B%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA/
מנהל/ת רשת ג'וניור במיידי,yesnet כל פתרונות,"תיאור משרה תמיכה במשתמשים בתחום החומרה והתוכנה המקומית, תמיכה באופיס, אנטי וירוס, תוכנות Client Server. תמיכה וניהול שרתים בכלל סניפי הרשת.","דרישות התפקיד שנה ניסיון לפחות בתחום - חובה ניסיון בעבודה עם Microsoft Windows Server. ניסיון בווירטואליזציה HYPER-V / VMWARE.- יתרון ידע בניהול Active Directory, GPO, Exchange,.365 היכרות עם מוצרי אבטחה ותקשורת היכרות עם מוצרי storage -יתרון. היכרות עם מוצרי גיבוי - יתרון.",הייטק-כללי & HELP DESK / תמיכה & SYS ADMIN WIN & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-23860-yesnet-%D7%9B%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA/
