Title,Company,Job description,Requirements,Categories,Link
טכנאי /ת דרג ג' ד',- חסוי -,תיאור משרה לחברת הייטק בקיסריה דרוש / ה טכנאי /ת דרג ג' ד'. עבודה הנה במשרה מלאה. תנאים מעולים למתאים /ה.,דרישות התפקיד בעל /ת תעודת טכנאי /ת דרג ג' ד'. המשרה מיועדת לנשים ולגברים כאחד.,תעשיה / ייצור & טכנאי/ת - תעשייה וייצור & עובד/ת ייצור,https://www.drushim.co.il/job/30643279/767580da/
נציג/ת תפעול טכנאים,one systems,תיאור משרה לחברת הייטק גדולה בפתח תקווה דרוש/ה פקיד/ת תפעול טכנאים. אחריות על שילוח טכנאים לקריאות בשטח. ניהול קריאות. בקרה על עבודת הטכנאים. עבודת אדמניסטרציה שוטפת. שעות עבודה 08:00 – 17:00.,דרישות התפקיד ניידות חובה! ניסיון בלוגיסטיקה-יתרון. ניסיון בניהול משלוחים/קריאות-יתרון משמעותי ניסיון בשירות לקוחות-יתרון משמעותי. שליטה גבוהה באקסל . אסרטיביות חובה (עבודה מול טכנאים) יכולת עבודה עצמית יכולת עבודה על כמה מערכות בו זמנית מולטיטאסקינג.,לוגיסטיקה / שילוח & תפעול & שילוח & מתאם/ת משלוחים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-27809-%D7%95%D7%95%D7%90%D7%9F-%D7%A1%D7%99%D7%A1%D7%98%D7%9E%D7%A1/
"שטראוס מים מגייסת ר""צ טכנאים.ות!",קבוצת שטראוס,"תיאור משרה איך יראה היום שלך? ניהול צוות של 20-28 טכנאים.ות, הן שכירים והן קבלני משנה. חיבור הצוות ליעדים ומטרות משותפות של המחלקה והנעתו לעמידה בהם. טיפוח ההון האנושי ושימור יכולותיהן המקצועיות של הטכנאים. אחריות על גיוס, קליטה והכשרה של עובדים חדשים, לרבות ליווי ופיתוח מקצועי. הובלת שיחות אישיות, משובים, תיאום ציפיות עם העובדים ותהליכי סיום העסקה. ביצוע בקרה על בעיות משמעת ואכיפת נהלי עבודה.",דרישות התפקיד מה נדרש ממך? ותק של שנתיים בניהול צוות והנעת עובדי שטח - חובה. שליטה מלאה באקסל כולל נוסחאות. ניסיון בהובלה וניהול של פרויקטים. כושר מנהיגות ויכולת ניהול והנעת צוות. יכולת ניהול ממשקים באופן אפקטיבי.,בעלי מקצוע & טכנאי/ת & מתקינים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-4021201-%D7%A7%D7%91%D7%95%D7%A6%D7%AA%D7%A9%D7%98%D7%A8%D7%90%D7%95%D7%A1/
לחברת הנדסה בירושלים דרוש/ה טכנאי מתח נמןך,"נתון-נוף ים בטחון בע""מ","תיאור משרה לחברת נתון מערכות הגנת אש בירושלים - דרוש/ה טכנאי מתח נמוך ומערכות גילוי אש ועשן משרה מלאה, ימים א-ה לפרטים: 054-9580263 ליטל",דרישות התפקיד ניסיון מוכח בהכרת מערכות גילוי של telefire מגורים - ירושלים והסביבה,בעלי מקצוע & טכנאי/ת מתח נמוך,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-284015-%D7%A0%D7%95%D7%A3-%D7%99%D7%9D-%D7%91%D7%98%D7%97%D7%95%D7%9F/
