Title,Company,Job description,Requirements,Categories,Link
מפתח/ת אינפורמטיקה,מונסייט,תיאור משרה לחברת ביטוח גדולה דרוש/ה מפתח/ת אינפורמטיקה • פיתוח תהליכי גזירה ועיבוד נתונים באינפורמטיקה Power Center ממערכות שונות וטעינה ל – DWH • השתלבות בפיתוח תהליכי גזירה ועיבוד נתונים באינפורמטיקה IICS וטעינה לבסיסי נתונים ו – Data Lakes בענן • עבודה עם ממשקים מרובים בארגון הן טכנולוגיים והן עסקיים,דרישות התפקיד • בעל/ת ניסיון של לפחות 2 שנות ניסיון בפיתוח תהליכי ETL באינפורמטיקה Power Center בסביבת DWH • ניסיון בעבודה מול לקוחות וגורמים עסקיים בארגון • יכולת עבודה עצמאית בסביבה מרובת משימות ופרויקטים • יכולת אנליטית ותחקור נתונים גבוהה. הבנת הקשר בין הצרכים העסקיים לעבודת הפיתוח.,הייטק-תוכנה & ETL,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-24492-%D7%9E%D7%95%D7%A0%D7%A1%D7%99%D7%99%D7%98-%D7%AA%D7%95%D7%9B%D7%A0%D7%94/
Full Stack Developer,yad2,"תיאור משרה לקבוצת yad2 דרוש/ה Full Stack Developer עם ניסיון וידע טכנולוגי נרחב לפיתוח מוצרים חדשים ותחזוקת מערכות קיימות עם יכולות למידה גבוהות וראש יצירתי. התפקיד כולל עבודה על פרויקטים חדשים ומאתגרים בסביבה טכנולוגית מתקדמת. משרדי החברה נמצאים ליד בחיפה, ליד מרכזית המפרץ.","דרישות התפקיד ניסיון מוכח של שנתיים לפחות בפיתוח Fullstack עם NodeJS - חובה שליטה מלאה ב- JavaScript ניסיון עם ReactJS - חובה ניסיון עם Hooks - חובה שליטה מלאה ב-MySQL/MongoDB ניסיון בעבודה עם Elasticsearch - יתרון יוזמה, אחריות, קריאטיביות, יכולת עבודה תחת לחץ, עבודת צוות וראש גדול",הייטק-תוכנה & FULL STACK & REACT & NODEJS,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1477861-%D7%A7%D7%95%D7%A8%D7%9C-%D7%AA%D7%9C/
UX/UI Designer,inManage,"תיאור משרה inManage, a software development company, specializing in sophisticated e-commerce solutions is looking for a motivated, talented and skillful UI/UX designer to join our growing team. Among our customers are huge brands such as Domino's Pizza, McDonald's, Azrieli, Aroma Israel, Shlomo Group, Meshulam, NewDeli and more.  This is a great opportunity to show your talent, work with amazing people, advanced technologies and big customers.","דרישות התפקיד Bachelor degree in Design of Visual Communication, Interactive Design or equivalent –must Experience designing a multiple device types such as iOS, Android, desktop and web interfaces. Proficiency in Figma, After Effects – must Proficiency in XD, Sketch, Photoshop, Illustrator Super creative thinker, with a strong eye for design and details Outstanding communication and collaboration skills Ability to work in a dynamic environment, quick decision making within tight schedules Ability to multi-task, prioritize projects, understand complex process and problem solving, team work, creative and innovative mindset, mindset agility",אינטרנט & מומחה/ית UI /UX & מעצב/ת אתרים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2800-inmanage/
דרוש רכז צוות תמיכה טכנית ושירות לקוחות.,YTcom Group,"תיאור משרה • מתן תמיכה טכנית, איתור, אבחון ופתרון תקלות בתחום התקשורת הסלולרית • ניוד קווים, בקרה ונטור שימושי סלולר, התאמת חבילות שירות. • תפעול פורטלים סלולריים • ניהול מערכת Call Center כולל טיפול בבעיות שוטפות בניתוב המענה ללקוחות • הכנה וצריבת מכשירים ובקרה על תקינות הציוד לפני שליחתו ללקוח • מענה טלפוני שוטף ללקוחות ומענה מייל ב-Support + כוננות לאחר שעות הפעילות • תמיכה טכנית למערך המכירות – מתן שירות שוטף לאנשי המכירות בשעות הפעילות ולאחריהם מרחוק • הפקת דוחות על פי דרישה • יכולת עבודת צוות ושיתוף פעולה עם מחלקת הנדסה ופיתוח",דרישות התפקיד • הכרה עם עולם הסלולר • ניסיון בתמיכה טכנית • ידע מעמיק בתכנת SAP • ניסיון קודם בהפעלת ממשקי ניהול דיגיטליים (בילינג וכד) • יכולת ניתוח אנליטי של דוחות • יחסי אנוש מעולים • ייצוגי ובעל תודעת שירות גבוהה • נכונות לעבודה מאומצת ומאתגרת • עבודה בכפוף למנהל מחלקת השירות והתמיכה • אנגלית ברמה טובה מאוד (קריאה וכתיבה) ימי עבודה א'-ה' בין השעות 08:00-17:00 *שעות נוספות לפי הצורך,שירות לקוחות & תמיכה טכנית & שירות לקוחות & מוקדן/ית,https://www.drushim.co.il/job/29873038/b4e4f387/
"טכנאי/ת קירור, רכב + טלפון!",- חסוי -,"תיאור משרה לחברת שירות ענקית העוסקת בתחום החשמל למוצרים לבית , דרוש/ה טכנאי קירור למוצרי חשמל ביתיים בעל/ת תעודה בתחום במסגרת התפקיד: * טיפול ותיקון המכשיר בבית הלקוח ובמעבדת החברה {מקררים ביתיים} * עבודה במשרה מלאה * תנאים ושכר מעולים למתאימים! * קליטה ישירה לארגון * משרה כוללת רכב+טלפון",דרישות התפקיד * רישיון חשמלאי עוזר ומעלה- עדיפות * תעודה טכנאי/ת קירור - חובה * רישיון נהיגה בתוקף- חובה * אמינות ושירותיות- חובה,בעלי מקצוע & טכנאי/ת & חשמלאי & טכנאי/ת מיזוג אוויר,https://www.drushim.co.il/job/29767797/dc55bbbd/
מנהל.ת פרויקטים בתחום הרגולציה לחברת חילן בתל-אביב,חילן,"תיאור משרה לחברת חילן דרוש.ה מנהל.ת פרויקטים בתחום הרגולציה. התפקיד כולל – • ניהול פרויקטי רגולציה בחילן רוחביים עם ראיה מערכתית. • קריאה והבנה של חוקים, תקנות והוראות חדשות המפורסמות ע""י הרגולטורים השונים ותרגומם למערכות חילן. • כתיבת מסמכי אפיון טכניים ופונקציונליים, הגדרת דרישות לאנשי הפיתוח וליווי תהליך הפיתוח והבדיקות. • איתור וניתוח שינויים רגולטוריים והשפעותיהם על המערכת ועל פתרונות שחילן תציע ללקוחויתיה. • עבודה עם כלי ניהול. • מתן מענה לתקלות ודרישות שוטפות.","דרישות התפקיד תואר ראשון אוריינטציה גבוהה למערכות מידע ניסיון קודם בהגדרת דרישות, אפיון וניתוח מערכות ניסיון במערכות ליבה MF - יתרון ניסיון מארגונים פיננסים או הכרות עם מערכות שכר משאבי אנוש - יתרון משמעותי יחסי אנוש מעולים ויכולת הובלת צוותי עבודה",הייטק-כללי & מנתח/ת מערכות & מנהל/ת מוצר & מנהל/ת פרויקטים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-11379-%D7%97%D7%99%D7%9C%D7%9F/
איש תמיכה טכנית ושירות לקוחות,now-hr,תיאור משרה חברת תקשורת בינלאומית מתפתחת מזמינה אתכם להצטרף לעתודה ניהולית ולעבוד בצוות איכותי  איש תמיכה טכנית להשתלבות במחלקת השירות והתמיכה של החברה - המשרה תתבצע במשרדי החברה בקריית אונו  למה כדאי להצטרף אלינו ? .עובד חברה מיום הראשון .צוות איכותי ומגובש .אפשרויות קידום,"דרישות התפקיד דרישות תפקיד:  - ניסיון בשירות לקוחות / תמיכה טכנית – יתרון משמעותי - הבנה טכנולוגית בעולם התקשורת - יתרון - עבודה מול לקוחות החברה – פרטיים, חברות, משווקים, שיתופי פעולה - שירותי, אדיב, סובלני, בעל כושר ביטוי ועברית רהוטה בדיבור ובכתב  -צרפתית/רוסית- יתרון --משמרות בוקר/ערב -אופציה ונכונות למשמרות שישי שבת",שירות לקוחות & מוקדן/ית & תמיכה טכנית & BACK OFFICE - שירות לקוחות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-3548158-now-hr/
"לחברה בטחונית בצפון, מפתח /ת אוטומציה",ALLSTARSIT,"תיאור משרה לחברה ביטחונית מובילה בצפון הארץ, דרוש /ה מפתח /ת אוטומציה. העבודה במשרה מלאה 100% מהמשרד.","דרישות התפקיד לפחות שנתיים ניסיון בפיתוח אוטומציה. ניסיון בפיתוח באחת מהשפות: matlab, Python, C / C ++, C #, JAVA. ידע וניסיון בכלי ALM (TFS או JIRA). השכלה - הנדסת תוכנה, מדעי המחשב, מערכות מידע, הנדסאי /ת תוכנה.",הייטק-QA & בדיקות אוטומטיות & מפתח/ת כלי בדיקות & מהנדס/ת QA,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-5700-testpro/
דרוש.ה עוזר.ת טכנולוג ראשי,קבוצת אשטרום,"תיאור משרה ישראבטון מבית אשטרום מגייסת עוזר.ת טכנולוג.  מה התפקיד כולל? -אחריות בתחום הטכנולוגי ובקרת איכות של תערובות הבטון, מרכיביהן ותהליכי ייצורן במפעלי החברה. -בדיקות מעבדה לחומרי הגלם. -בקרת תוצרת גמורה. -סיוע בהדרכת והכשרת עובדי הייצור, ליווי העמסות ויציקות.","דרישות התפקיד מה חשוב שיהיה לך? -ניסיון מעשי קודם בתחום-  חובה. -הנדסאי/ת בניין - יתרון -תעודת בקר בטון - יתרון משמעותי -נכונות לעבודת שטח אינטנסיבית  המשרה כוללת רכב משרה מלאה, 6 ימים בשבוע, עם נכונת לשעות נוספות.","בנייה ונדל""ן & מבקר/ת איכות בבנייה & הנדסאי/ת בניין",https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-37984-%D7%A7%D7%91%D7%95%D7%A6%D7%AA-%D7%90%D7%A9%D7%98%D7%A8%D7%95%D7%9D/
"מדריך.ה מחשב נהריה, אחוזת ברק,בי'ס,בוקר",- חסוי -,"תיאור משרה הדרכת מחשבים בבתי ספר יסודים בבוקר: באחוזת ברק, ימים א+ב - 13 שעות בשבוע (6+7) נהריה - פעם בשבוע, יום ב 6 שעות (8-13.30) +אופציה למילויי מקום באיזור בשאר ימות השבוע. על פי מערכים סדורים.",דרישות התפקיד שליטה בפאוור פוינט וגישה מעול לילדים,הדרכה / הוראה & הדרכה,https://www.drushim.co.il/job/29830801/228a52c0/
