Title,Company,Job description,Requirements,Categories,Link
מורים/ות למתמטיקה- ללא ניסיון! הכשרה עלינו,אריאדנה,"תיאור משרה למדריכים/ות למתמטיקה שאוהבים ללמד ולאהוב: מרכז הלמידה ""אריאדנה"", מרכז פרטי ומוביל בתחום, מחפש/ת מורים/ות למתמטיקה להצטרפות לצוות מדהים! למה לבחור בנו? הזדמנות להשפיע: עזור/י לתלמידים להבין ולצמוח בתחום המתמטיקה. סביבת עבודה נעימה: צוות מפרגן, תומך ומקצועי. גמישות: ישנה גמישות בבחירת ימי העבודה שעות עבודה נוחות (14:00-21:00) – 20 שעות שבועיות לפחות. התפתחות מקצועית: הכשרה ותמיכה לאורך כל הדרך. תנאים מעולים: שכר הולם, תנאים סוציאליים מלאים, חניה עלינו! מיקום: משרדים נוחים במרכז ראשון לציון.","דרישות התפקיד אין צורך בניסיון קודם. ידע במתמטיקה ברמת 4 יח""ל לפחות. ידיעת ברוסית – יתרון משמעותי! ניסיון בהוראה פרטית – יתרון. נכונות לעבודה לטווח ארוך ולמשרה יציבה. תחילת עבודה מיידית.",הדרכה / הוראה & מורה & הדרכה & רכז/ת הדרכה/הוראה & כללי & סטודנט/ית & חייל/ת משוחרר/ת & משרות כלליות,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2633118-%D7%90%D7%A8%D7%99%D7%90%D7%93%D7%A0%D7%94/
בנקאי.ת תמיכה דיגיטלי - קורס הכשרה הקרוב 26.9!,בנק- דיסקונט,"תיאור משרה צוות הדיגיטל של הבנק מתרחב ואנחנו מגייסים בנקאי.ת לתמיכה בלקוחות במרחב הדיגיטלי!  התפקיד כולל:  * מתן מענה טלפוני ללקוחות הבנק במגוון רחב של פלטפורמות * מתן מידע והדרכה בביצוע פעולות בדיגיטל כגון: העברות, תשלום משכורת, מט""ח, פיקדונות, החלפת סיסמא לצורך התחברות עצמית לחשבון, ועוד * מתן מענה לבנקאי.ות הסניפים ומרכזי העסקים * עבודה במשרה מלאה של 5 משמרות + ימי שיש לסירוגין (גמישות לסטודנטים.ות)  למה לעבוד איתנו?  * הכשרה מלאה עלינו, בסיומה תקבל.י תעודת בנקאי.ת * קליטה כעובד.ת בנק מהיום הראשון * שכר תחרותי + בונוסים * סביבת עבודה תומכת, דינמית ומפנקת * ימי כיף, ארוחות ופינוקים * מסלולי קריירה והתפתחות","דרישות התפקיד * בגרות מלאה, יתרון לתואר ראשון * חוש טכני דיגיטלי * יכולת למידה ועבודה עצמאית",כספים / שוק ההון & בנקאות כללי & מתמחה - כספים & סטודנט/ית - כספים & שירות לקוחות & תמיכה טכנית & שירות לקוחות & מוקדן/ית,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-4054451-%D7%91%D7%A0%D7%A7%D7%93%D7%99%D7%A1%D7%A7%D7%95%D7%A0%D7%98/
ניסיון ניהולי?! בוא/י לקבל הכשרה באיפור על חשבוננו,MAC,"תיאור משרה מותג האיפור MAC ובובי בראון מגייסים מנהלים בעלי ניסיון קודם ובעלי חיבור לעולם האיפור. קורס איפור מתנה - הכשרה על חשבון החברה!  במסגרת התפקיד: - ניהול צוות עובדים. -גיוס, שימור ופיתוח עובדים. -הנעה ליעדים ומתן שרות לקוחות. - ניהול רצפת מכירה. - ניהול פדיון החנות ועמידה ביעדי הרשת. - ניהול יחידת רווח והפסד לרבות ניהול תקציב שעות. - ניהול נראות החנות. -בניית תוכנית עבודה שנתית לחנות.  למה כדאי לעבוד אצלנו? - כניסה לחברה בינלאומית- קבוצת החברות של אסתי לאודר - עובד/ת חברה מהיום הראשון -סביבת עבודה נעימה ודינמית. - מתנות והטבות שוות!! -בונוסים גבוהים, אפשרויות קידום, הדרכות על חשבון החברה!!",דרישות התפקיד -זמינות לעבודה במשרה מלאה- חובה. -ניסיון בניהול רצפת המכירה- חובה. -ניסיון בניהול עובדים לפחות שנה- חובה. - בעל/ת חיבור לתחום איפור- חובה,מכירות & מוכר/ת & מנהל/ת סניף & אחראי/ת משמרת & מנהל/ת צוות & קמעונאות & מוכר/ת & מנהל/ת קמעונאות,https://www.drushim.co.il/job/31484067/75f989a6/
ניסיון ניהולי?! בוא/י לקבל הכשרה באיפור על חשבוננו,MAC,"תיאור משרה מותג האיפור MAC ובובי בראון מגייסים מנהלים בעלי ניסיון קודם ובעלי חיבור לעולם האיפור. קורס איפור מתנה - הכשרה על חשבון החברה!  במסגרת התפקיד: - ניהול צוות עובדים. -גיוס, שימור ופיתוח עובדים. -הנעה ליעדים ומתן שרות לקוחות. - ניהול רצפת מכירה. - ניהול פדיון החנות ועמידה ביעדי הרשת. - ניהול יחידת רווח והפסד לרבות ניהול תקציב שעות. - ניהול נראות החנות. -בניית תוכנית עבודה שנתית לחנות.  למה כדאי לעבוד אצלנו? - כניסה לחברה בינלאומית- קבוצת החברות של אסתי לאודר - עובד/ת חברה מהיום הראשון -סביבת עבודה נעימה ודינמית. - מתנות והטבות שוות!! -בונוסים גבוהים, אפשרויות קידום, הדרכות על חשבון החברה!!",דרישות התפקיד -זמינות לעבודה במשרה מלאה- חובה. -ניסיון בניהול רצפת המכירה- חובה. -ניסיון בניהול עובדים לפחות שנה- חובה. - בעל/ת חיבור לתחום איפור- חובה,מכירות & מוכר/ת & מנהל/ת סניף & אחראי/ת משמרת & מנהל/ת צוות & קמעונאות & מוכר/ת & מנהל/ת קמעונאות,https://www.drushim.co.il/job/31487734/507b62d5/
"פיתוח תוכנה בחברות הבטחוניות, ההכשרה על חשבוננו",Infinity Labs,"תיאור משרה שואפים להיות חלק מהמשימה הלאומית להגנה על ביטחון המדינה? מסלול הקריירה של חברת Infinity Labs R&D נותן לכם את האופציה לעבוד בחברות הבטחוניות המובילות בתפקידי פיתוח תוכנה. אנחנו אלו שנדאג לכם למשרה באחת מהחברות. מסלול ההכשרה על חשבוננו – כאשר רק כשתתקבלו למשרת פיתוח, נוכל להחזיר את ההשקעה בכם.  אנו מגייסים בוגרי תואר ראשון בהנדסה/מדעים מדויקים, המעוניינים להשתלב כמפתחי תוכנה, במשרות הדורשות 2-3 שנות ניסיון, ולבסס קריירה איכותית ומקצועי מלאה בעשייה אידיאולוגית ומשמעותית. אין צורך בניסיון קודם בפיתוח תוכנה. במהלך ההכשרה נלמד אתכם בשיטה ייחודית את יסודות ארכיטקטורת התוכנה, נעניק לכם מיומנויות וכלים שיבטיחו לכם את היכולת להיות מצטיינים בתחום ואת האפשרות להתמודד מול אתגרים מקצועיים וטכנולוגיים לאורך כל הקריירה.",דרישות התפקיד תואר ראשון בהנדסה/מדעים מדויקים או ציון פסיכומטרי 680+ - אנגלית ברמה גבוהה - מיומנויות אוטודידקטיות - אוריינטציה אנליטית  * תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים * לא נדרש ניסיון קודם בתכנות * אופציה למלגות קיום במהלך ההכשרה,מדעים / ביוטק & כימיה & ביולוגיה & סטטיסטיקאי/ת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
קריירה בעולמות ה-DevOps! ההכשרה על חשבוננו,Infinity Labs,"תיאור משרה Infinity Labs RnD, חברת פיתוח ומחקר מובילה, מגייסת מועמדים לתפקיד DevOps – אחד מהמקצועות הנחשקים בעולם ההייטק. החברה פיתחה מסלול ייחודי: DevOps Pro הכולל הכשרה אינטנסיבית וממוקדת שאורכת כ-22 שבועות. ההכשרה שלנו לא מבוססת על מרצים ושקפים, אלא משימות ואתגרי ניסוי וטעייה המקבילים למשימות יומיומיות בתעשייה בליווי צוות מנטורים.  במסלול ה-DevOps Pro תקבלו את כל הכלים המקצועיים ומשימות המקבילות לאתגרים היום-יומיים של אנשי DevOps. - ההכשרה בשיטת Hands-On - התמקצעות בשפות פיתוח בעולמות ה-System - עבודה בכלי CI\CD ו-SDLC - כלי ניהול קוד וגרסאות - שיטות בדיקה מורכבות - בניית תהליכים באמצעות דוקרים  בסיום ההכשרה תוכלו להשתלב בתפקיד DevOps באחת מחברות ההייטק והסטארט-אפים המובילים בישראל, בהם משתלבים מדי שנה בוגרים ובוגרות שלנו. ההכשרה על חשבון אינפיניטי לאבס ורק כאשר אתם מתקבלים בהצלחה למשרה, אנחנו מחזירים את ההשקעה בכם ויכולים לקיים מודל רווח. כלומר, ההצלחה שלנו בהכרח שווה להצלחה שלכם!",דרישות התפקיד - דרוש/ה ידע בסיסי בכתיבת קוד/IT - זיקה טכנולוגית ויכולת לפתור בעיות לוגיות והתמודדות עם משימות מורכבות - תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים/ות - מוטיבציה גבוהה להיכנס לעולם ההייטק - ההכשרה ניתנת ללא עלות למתאימים,הייטק-כללי & איש/ת IT & HELP DESK / תמיכה & מנהל/ת רשת,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
דרושים אקדמאים למשרות פיתוח תוכנה-ההכשרה עלינו,Infinity Labs,"תיאור משרה Infinity Labs R&D, חברת מחקר ופיתוח מובילה, מחפשת בוגרי תואר ראשון למשרות פיתוח תוכנה בקרב לקוחותיה. אנו מחפשים אנשיים מסורים וערכיים , לקחת חלק במסלול קריירה ייחודי מסוגו ומאתגר ללימודי Software Development. המודל העסקי שלנו מבוסס על שותפות - ההכשרה היא על חשבוננו ורק כאשר אתם מתחילים לעבוד בסיום ההכשרה בתפקידים הדורשים 2-3 שנות ניסיון אצל אחד מלקוחותינו, אנחנו יכולים להחזיר את ההשקעה בכם. המסלול כולל הכשרה מעמיקה ויסודית בת 32 שבועות, שבסיסה שיטת הלימוד הייחודית שפיתחנו, שתאפשר לכם להבין ולגעת בכל טכנולוגיה חדשה ולמצוא פתרונות לבעיות בצורה אפקטיבית במהלך הקריירה. -סביבת עבודה של יום בהייטק: לימוד בקבוצה של 12-14 אנשים שמהווה צוות אורגני בתעשייה, בהובלת מנטור שמתפקד כראש צוות לכל דבר. המנטור אמון על הקניית הרגלי עבודה בריאים לצד לימוד אינטנסיבי ואיכותי של המקצוע. מתודולוגיית לימוד ייחודית IMSL (Learning Social Mentored Methodology) - שיטת לימוד חברתית אשר שמה דגש על פיתוח יכולות אוטודידקטיות, למידה דרך הידיים, על ידי ביצוע פרויקטים בפועל במסגרת של יום עבודה בתעשייה על כל המשמעויות שלו. -מחלקת הלקוחות שלנו: את בוגרינו ניתן למצוא בחברות המובילות ביותר בתעשיית ההייטק. יש לנו מחלקה שלמה שכל תפקידה הוא לדאוג שבתום תקופת ההכשרה תתחילו לעבוד! יש לנו קשרים עסקיים עם למעלה מ300- חברות אשר קולטות את בוגרינו באופן קבוע ועקבי לאורך שנים. בעשור האחרון הכשרנו כ-2,000 מפתחי תוכנה, אנשי DevOps ו-Cyber שהיום מהווים את עמודי התווך בחברות מובילות בהייטק הישראלי. * תנאים מעולים ואפשרויות פיתוח אישי ומקצועי למתאימים/ות. * לא נדרש ניסיון קודם בתכנות - ההכשרה ניתנת על ידי החברה ללא עלות. * אופציה למלגות קיום במהלך ההכשרה.",דרישות התפקיד -תואר ראשון בהנדסה/מדעים מדויקים או תואר בהצטיינות עם ציון פסיכומטרי 680+ -אנגלית ברמה גבוהה -מיומנויות אוטודידקטיות -אוריינטציה אנליטית * משרה זו פונה לנשים וגברים כאחד.,מדעים / ביוטק & כימיה & ביולוגיה & פיזיקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-1999924-infinty-labs/
רכז/ת גיוס למשרה ראשונית - הכשרה מלאה עלינו!,top marketing,"תיאור משרה לחברת קידום מכירות ושיווק מצליחה היושבת בבורסה ברמת גן דרוש/ה רכזת גיוס ללא ניסיון לתפקיד ראשוני והתחלתי! אופציה נהדרת להיכנס לעולם הגיוס ומשאבי האנוש במסגרת התפקיד: פרסום משרות, שימוש בפלטפורמות איתור מועמדים, ראיונות עובדים, תיעוד ממוחשב, ליווי מועמדים מתחילת התהליך ועד סופו. שכר גבוה + בונוסים מטורפים","דרישות התפקיד ניסיון מעולם השירות או מכירה - יתרון סבלנות, אהבת אדם, יחסי אנוש מצויינים תודעת שירות גבוהה ותקשורת בין אישית מצוינת יכולת עבודה בצוות",משאבי אנוש & רכז/ת גיוס & מראיין/ת & רכז/ת משאבי אנוש,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-532934-%D7%98%D7%95%D7%A4-%D7%9E%D7%A8%D7%A7%D7%98%D7%99%D7%A0%D7%92/
"חשמלאים/ות? מגוון אופציות קידום, הכשרה וניהול!","סגל לזר בע""מ","תיאור משרה רוצים ללמוד ולעבוד בפרויקטים מורכבים ומעניינים?! מעוניינים ללמוד ולהתקדם לתפקידים ניהוליים בתחום? זה הזמן להגיש מועמדות  לחברת סגל לזר אשר ממוקמת באזור מרכז הארץ, דרוש/ה חשמלאי/ת / ראש/ת צוות בעלי/ות רישיון חשמל, לביצוע עבודות חשמל בתחום התעשייה, מוסדות, משרדי.  העבודה כוללת התקנת תשתיות, לוחות חשמל, גופי תאורה, תעלות וכדומה  תנאים מעולים למתאימים/ות ואופציות קידום!","דרישות התפקיד ניסיון קודם מתחום החשמל - לפחות שנה רישיון חשמל בתוקף - חובה אחריות, אמינות, יכולת למידה גבוהות עבודה בצוות ובאופן פרטי עברית ברמה טובה נכונות לנסיעות בכל הארץ",בעלי מקצוע & חשמלאי & טכנאי/ת מתח נמוך & מנהל/ת עבודה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-318234-%D7%A1%D7%92%D7%9C-%D7%9C%D7%96%D7%A8/
"סוכן/ת נדל""ן - כולל הכשרה לקורס מתקדם בנדל""ן",- חסוי -,"תיאור משרה הכשרה בתחום הנדל""ן ללא תשלום . אם כסף זה מה שמריץ אותך, הנך מוזמן לקורס מתקדם בעולם הנדל""ן. שותפות ברווחים מהיום ה-1. עבודה כעצמאיים/ פרילנסריים - ישנה גמישות בשעות העבודה. אפשר כמשרה חלקית.",דרישות התפקיד אין צורך בניסיון קודם.,"מכירות & סוכן/ת נדל""ן & סוכן/ת מכירות שטח & סוכן/ת מכירות",https://www.drushim.co.il/job/31299805/6ede41e6/
