Title,Company,Job description,Requirements,Categories,Link
נציג/ת תפעול טכנאים,one systems,תיאור משרה לחברת הייטק גדולה בפתח תקווה דרוש/ה פקיד/ת תפעול טכנאים. אחריות על שילוח טכנאים לקריאות בשטח. ניהול קריאות. בקרה על עבודת הטכנאים. עבודת אדמניסטרציה שוטפת. שעות עבודה 08:00 – 17:00.,דרישות התפקיד ניידות חובה! ניסיון בלוגיסטיקה-יתרון. ניסיון בניהול משלוחים/קריאות-יתרון משמעותי ניסיון בשירות לקוחות-יתרון משמעותי. שליטה גבוהה באקסל . אסרטיביות חובה (עבודה מול טכנאים) יכולת עבודה עצמית יכולת עבודה על כמה מערכות בו זמנית מולטיטאסקינג.,לוגיסטיקה / שילוח & תפעול & שילוח & מתאם/ת משלוחים,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-27809-%D7%95%D7%95%D7%90%D7%9F-%D7%A1%D7%99%D7%A1%D7%98%D7%9E%D7%A1/
טכנאי /ת דרג ג' ד',- חסוי -,תיאור משרה לחברת הייטק בקיסריה דרוש / ה טכנאי /ת דרג ג' ד'. עבודה הנה במשרה מלאה. תנאים מעולים למתאים /ה.,דרישות התפקיד בעל /ת תעודת טכנאי /ת דרג ג' ד'. המשרה מיועדת לנשים ולגברים כאחד.,תעשיה / ייצור & טכנאי/ת - תעשייה וייצור & עובד/ת ייצור,https://www.drushim.co.il/job/30643279/767580da/
טכנאים לעבודה בתחום הבניה,- חסוי -,תיאור משרה לעבודה במעבדה בתחום הבניה נדרשים/ות טכנאים עדיפות לבעלי רישיון נהיגה העבודה באזור תעשיה כנות,דרישות התפקיד בעל /ת תעודת טכנאי /ת דרג ג' ד'. המשרה מיועדת לנשים ולגברים כאחד.,בעלי מקצוע & עובדי בניין & טכנאי/ת,https://www.drushim.co.il/job/30634197/723d7880/
טכנאי,פרו ארט טכנולוגיות,"תיאור משרה לחברת פרו ארט טכנולוגיה המשווקת מערכות הדפסה, מערכות דבק ורובוטים לקווי יצור דרוש טכנאי לתיקון, שרות, תחזוקה והדרכת לקוחות. למועמד המתאים תינתן הדרכה ספציפית במקום.",דרישות התפקיד הבנה טכנית במערכות משולבות מכניקה ומחשב יכולת עבודה בצוות יכולת וסבלנות להדריך אנשים בטלפון. מתאים גם לעבודה גמישה.,בעלי מקצוע & טכנאי/ת & טכנאי/ת מתח נמוך & אחזקה,https://www.drushim.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-2421781-%D7%A4%D7%A8%D7%95-%D7%90%D7%A8%D7%98-%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%95%D7%AA/
